Věková kategorie;Muž;Žena;Celkový součet;rok
23 - nedovršených 25 let;3.0;0.0;3;2024
25 - nedovršených 30 let;7.0;2.0;9;2024
30 - nedovršených 35 let;26.0;1.0;27;2024
35 - nedovršených 40 let;18.0;3.0;21;2024
40 - nedovršených 45 let;19.0;3.0;22;2024
45 - nedovršených 50 let;12.0;0.0;12;2024
50 - nedovršených 55 let;8.0;2.0;10;2024
55 - nedovršených 60 let;8.0;1.0;9;2024
60 - nedovršených 65 let;1.0;0.0;1;2024
65 - nedovršených 70;1.0;0.0;1;2024
