Nejvyšší dosažené vzdělání;Muž;Žena;Celkový součet;Celkem v %;rok
zvláštní škola;2;0.0;2;0.0417;2024
bez základního vzdělání;1;0.0;1;0.0208;2024
nedokončené základní;3;0.0;3;0.0625;2024
základní vzdělání;14;2.0;16;0.3333;2024
vyučení bez maturity;15;1.0;16;0.3333;2024
středoškolské vzdělání bez maturity;1;0.0;1;0.0208;2024
středoškolské všeobecné vzdělání s maturitou;2;0.0;2;0.0417;2024
středoškolské odborné vzdělání s maturitou;7;0.0;7;0.1458;2024
