Věková kategorie;Muž;Žena;Celkový součet;rok
30 - nedovršených 35 let;2;0.0;2;2024
35 - nedovršených 40 let;3;0.0;3;2024
40 - nedovršených 45 let;3;0.0;3;2024
45 - nedovršených 50 let;6;0.0;6;2024
50 - nedovršených 55 let;13;1.0;14;2024
55 - nedovršených 60 let;5;1.0;6;2024
60 - nedovršených 65 let;8;1.0;9;2024
65 - nedovršených 70 let;2;0.0;2;2024
70 - nedovršených 75 let;2;0.0;2;2024
75 - nedovršených 80 let;1;0.0;1;2024
